,server,serve,serve_x,serve_y,server_shot_type,server_shot_hand,server_x,server_y,returner_x,returner_y,returner_shot_type,returner_shot_hand,num_strokes,is_game_point,is_break_point,winner
70,0,0,1.63,17.52,3,0,7.52,5.6,3.71,28.74,1,1,7,0,0,0
71,0,0,5.2,16.59,3,0,1.36,-0.94,9.23,26.33,3,0,8,0,0,1
72,0,1,1.4,15.77,3,0,3.01,-0.84,8.28,25.61,3,0,8,0,0,0
73,0,0,4.86,15.46,3,1,0.63,0.47,3.19,25.61,1,1,10,1,0,0
74,1,1,7.45,6.54,2,0,8.87,21.14,2.69,-0.55,3,1,7,0,0,1
75,1,0,7.71,7.0,1,0,5.4,27.95,2.75,0.26,3,0,14,0,0,0
76,1,0,4.86,6.49,3,1,3.08,26.82,8.53,0.5,3,0,8,0,0,0
77,1,0,5.65,5.89,3,1,3.65,23.89,1.72,-0.12,3,1,7,0,1,0
81,1,1,4.38,17.18,1,1,8.36,5.99,6.52,20.45,2,1,7,0,0,1
82,1,0,7.73,16.1,2,1,7.73,7.26,7.82,15.77,1,1,12,0,0,0
83,1,0,0.89,17.09,4,0,5.42,-0.29,-0.73,25.26,7,0,2,0,0,1
84,1,1,7.25,16.1,3,0,4.24,1.98,6.59,17.26,5,1,11,0,0,0
85,1,0,3.67,16.76,5,0,4.84,5.99,7.06,26.69,3,1,7,0,0,1
86,1,0,8.57,16.67,4,0,4.04,-0.39,10.45,24.68,7,1,2,1,0,1
87,0,1,2.74,17.52,3,1,4.55,-0.15,8.12,24.45,3,0,4,0,0,0
88,0,1,5.51,17.35,3,1,3.19,-0.25,4.12,26.94,3,1,4,0,0,0
89,0,1,4.19,16.51,4,0,5.95,-0.29,2.57,24.79,7,0,2,0,0,0
90,0,1,8.41,17.26,4,0,4.44,-0.29,9.17,23.77,7,0,2,1,0,0
91,1,0,5.04,5.22,4,0,4.07,23.77,5.0,-1.22,1,1,2,0,0,1
92,1,1,4.78,4.26,4,0,6.39,12.58,2.23,-0.65,7,0,2,0,0,0
93,1,0,2.13,7.91,3,0,9.42,23.23,-0.06,-1.1,3,1,11,0,0,0
94,1,1,6.25,6.34,3,1,3.43,25.97,8.71,-1.25,1,0,16,0,0,1
95,1,0,1.74,7.05,1,0,6.5,17.78,2.38,0.93,2,1,11,0,1,0
96,0,0,8.19,6.79,3,0,7.28,22.58,7.13,-0.29,3,1,8,0,0,1
97,0,0,2.04,10.23,3,0,6.65,24.45,-0.56,1.07,7,0,3,0,0,0
98,0,0,8.2,8.13,4,0,3.26,25.61,10.8,-0.94,7,1,2,0,0,0
99,0,0,8.14,6.14,3,1,7.62,27.83,4.6,-0.19,3,0,11,0,0,0
100,1,0,4.0,17.52,3,0,2.04,0.5,3.17,26.09,7,1,3,0,0,1
102,1,0,1.27,16.42,4,0,5.43,-0.15,0.4,24.68,7,0,2,0,0,1
103,1,1,0.97,17.18,5,1,6.99,6.54,8.37,24.45,1,1,5,1,0,1
104,0,0,3.5,17.87,3,0,1.6,-0.84,7.09,24.68,2,0,16,0,0,0
105,0,0,4.91,16.92,3,1,1.13,-0.25,8.47,25.61,3,0,7,0,0,1
106,0,0,0.95,16.84,3,1,2.87,5.99,7.92,24.45,3,0,4,0,0,0
107,0,0,5.28,16.1,3,1,2.34,-0.65,6.71,26.09,3,0,11,0,0,1
108,0,0,1.3,16.26,3,0,5.62,-0.94,-1.16,25.02,7,1,3,0,0,1
109,0,0,5.07,16.76,3,0,6.26,-1.86,2.55,23.23,3,1,9,0,0,0
110,0,0,8.07,17.18,3,0,3.23,2.21,9.35,26.21,7,0,3,0,0,0
111,1,0,6.08,6.19,3,0,5.77,24.22,2.98,-0.45,3,1,4,0,0,0
113,1,1,7.9,6.95,4,0,4.14,24.45,8.48,0.19,3,0,2,0,0,1
114,1,0,4.58,7.0,4,0,5.38,24.68,3.69,0.02,7,0,2,0,0,1
115,1,1,5.6,7.42,4,0,4.25,24.91,6.36,0.58,7,1,2,1,0,1
116,0,1,7.69,7.11,3,0,4.92,26.69,10.35,-2.04,7,1,3,0,0,1
117,0,0,4.46,8.55,0,0,5.15,15.62,9.75,-1.22,6,1,7,0,0,0
118,0,0,4.65,6.74,4,0,2.67,23.23,6.4,-1.22,7,0,2,0,0,0
119,0,0,4.65,8.86,1,0,-0.29,29.27,8.03,0.61,3,1,7,0,0,1
120,0,0,4.43,6.95,3,0,5.84,25.14,1.16,-1.16,3,0,4,0,0,0
121,0,0,4.82,8.29,3,1,8.6,26.09,7.25,1.33,3,0,17,0,0,1
122,0,0,8.1,7.16,4,0,2.74,24.68,10.8,-0.91,3,1,2,0,0,0
123,0,0,6.08,7.85,5,1,6.67,21.04,2.58,0.12,3,0,7,1,0,0
124,1,0,4.41,16.42,4,0,5.94,-0.12,3.41,25.84,7,1,2,0,0,1
125,1,0,5.89,16.42,1,1,7.75,-2.1,6.3,22.9,3,0,6,0,0,0
126,1,0,2.38,17.43,1,1,7.72,-0.84,8.94,25.84,3,1,9,0,0,0
127,1,0,8.29,15.88,3,0,4.07,-0.01,4.23,26.35,3,0,4,0,0,0
128,1,0,3.21,16.24,3,1,7.01,-1.4,4.57,25.07,3,1,12,0,0,1
129,1,1,6.49,16.64,3,1,7.52,-1.69,2.23,25.19,3,0,5,0,1,0
