,server,serve,serve_x,serve_y,server_shot_type,server_shot_hand,server_x,server_y,returner_x,returner_y,returner_shot_type,returner_shot_hand,num_strokes,is_game_point,is_break_point,winner
0,0.0,0.0,0.12771392081736913,0.9200293470286134,0.6000000000000001,0.0,0.16363636363636364,0.13643363104404066,0.13926940639269408,0.8804007514088917,0.14285714285714285,1.0,0.05000000000000002,0.0,0.0,0.0
1,0.0,1.0,0.7905491698595147,0.9325018341892883,0.6000000000000001,1.0,0.18660287081339713,0.07791807822605483,0.7549467275494675,0.9267376330619913,0.42857142857142855,0.0,0.1,0.0,0.0,0.0
2,0.0,0.0,0.9169859514687101,0.9933969185619957,0.6000000000000001,1.0,0.1339712918660287,0.04558053587927319,0.3660578386605784,0.9267376330619913,0.14285714285714285,1.0,0.4,0.0,0.0,0.0
3,1.0,1.0,0.4572158365261815,0.8789435069699192,0.6000000000000001,0.0,0.28803827751196176,0.00831536803202957,0.25266362252663627,0.8922980588603632,0.42857142857142855,0.0,0.25,0.0,0.0,0.0
4,1.0,0.0,0.6194125159642401,0.8906823184152604,0.6000000000000001,0.0,0.12631578947368421,0.028025870033877437,0.8614916286149163,0.8591108328115217,0.42857142857142855,1.0,0.5000000000000001,0.0,0.0,0.0
5,1.0,0.0,0.4853128991060026,0.8789435069699192,0.6000000000000001,0.0,0.41722488038277517,0.19987680936248847,0.4398782343987824,0.8882279273638072,0.14285714285714285,1.0,0.1,0.0,0.0,1.0
6,1.0,1.0,0.6347381864623244,0.9141599413059427,0.6000000000000001,1.0,0.7004784688995215,0.04773637203572529,0.7222222222222223,0.8882279273638072,0.42857142857142855,1.0,0.55,0.0,0.0,0.0
7,1.0,0.0,0.015325670498084282,0.9567131327953045,0.6000000000000001,0.0,0.9177033492822967,0.14998460117031107,0.08295281582952818,0.9386349405134627,0.14285714285714285,0.0,0.05000000000000002,0.0,1.0,0.0
8,0.0,0.0,0.6028097062579821,0.08437270726338963,0.8,0.0,0.3645933014354067,0.7376039421004005,0.6971080669710807,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.384418901660281,0.4820249449743214,0.6000000000000001,0.0,0.5100478468899521,0.983061287342162,0.3264840182648402,0.10958046336881652,0.42857142857142855,0.0,0.1,0.0,0.0,0.0
10,0.0,0.0,0.5466155810983397,0.16507703595011003,0.6000000000000001,1.0,0.4784688995215311,0.7314444102248229,0.6796042617960427,0.0723231058234189,0.14285714285714285,1.0,0.20000000000000004,0.0,0.0,0.0
11,1.0,0.0,0.7432950191570881,0.027879677182685247,1.0,1.0,0.3090909090909091,0.6014782876501387,0.38127853881278545,0.3018159048215404,0.42857142857142855,1.0,0.5000000000000001,0.0,0.0,0.0
12,1.0,1.0,0.243933588761175,0.1797505502567865,0.8,0.0,0.5196172248803828,0.8176778564829074,0.2092846270928463,0.09830932999373825,0.42857142857142855,0.0,0.0,0.0,0.0,1.0
13,1.0,0.0,0.8544061302681992,0.17608217168011742,0.6000000000000001,1.0,0.02679425837320574,0.7634739759778257,0.4452054794520549,0.07670632435817157,0.42857142857142855,1.0,0.1,0.0,0.0,0.0
14,1.0,0.0,0.01915708812260536,0.24724871606749815,0.6000000000000001,0.0,0.9598086124401913,0.796735448105944,0.0517503805175038,0.117407639323732,0.42857142857142855,1.0,0.05000000000000002,0.0,0.0,1.0
15,1.0,0.0,0.5325670498084292,0.15113719735876746,0.6000000000000001,1.0,0.6038277511961722,0.8829688943640284,0.2488584474885845,0.07858484658735128,0.42857142857142855,1.0,0.25,0.0,0.0,0.0
16,1.0,0.0,0.2822477650063857,0.15774027879677188,0.8,0.0,0.6105263157894736,0.8072066522944257,0.19330289193302896,0.07858484658735128,0.42857142857142855,0.0,0.0,0.0,0.0,1.0
17,1.0,0.0,0.9093231162196681,0.12252384446074832,0.8,0.0,0.3741626794258373,0.828149060671389,0.8188736681887369,0.018159048215403872,0.42857142857142855,0.0,0.0,0.0,0.0,1.0
18,1.0,0.0,0.03831417624521072,0.26705796038151147,0.6000000000000001,0.0,0.6258373205741626,0.8004311672312905,0.6202435312024354,0.030369442705071997,0.42857142857142855,0.0,0.1,0.0,1.0,1.0
19,0.0,0.0,0.46871008939974457,1.0,0.6000000000000001,1.0,0.2028708133971292,0.06744687403757316,0.3447488584474886,0.8960551033187226,0.42857142857142855,1.0,0.20000000000000004,0.0,0.0,0.0
20,0.0,0.0,0.8033205619412517,0.9684519442406456,0.6000000000000001,1.0,0.27368421052631575,0.09762858022790269,0.7427701674277019,0.9189104571070758,0.42857142857142855,0.0,0.15,0.0,0.0,0.0
21,1.0,1.0,0.29757343550447,0.8730741012472487,0.6000000000000001,0.0,0.4679425837320574,0.03572528487834925,0.30593607305936077,0.8447088290544771,0.42857142857142855,1.0,0.05000000000000002,0.0,0.0,0.0
22,1.0,0.0,0.9629629629629631,0.8730741012472487,0.8,0.0,0.4019138755980861,0.04065291037881122,1.0,0.8553537883531621,1.0,1.0,0.0,0.0,0.0,1.0
23,1.0,0.0,0.46871008939974457,0.8554658840792368,0.6000000000000001,0.0,0.69377990430622,0.3150600554357869,0.4444444444444444,0.8447088290544771,0.14285714285714285,1.0,0.05000000000000002,0.0,0.0,1.0
24,1.0,1.0,0.6411238825031929,0.896551724137931,0.6000000000000001,0.0,0.09760765550239234,0.032029565753002774,0.7671232876712331,0.7733249843456481,0.42857142857142855,1.0,0.45000000000000007,0.0,0.0,0.0
25,1.0,1.0,0.3601532567049809,0.9024211298606015,0.6000000000000001,1.0,0.7014354066985645,0.05481983369263937,0.3942161339421614,0.6011271133375079,0.7142857142857142,0.0,0.20000000000000004,0.0,0.0,1.0
26,1.0,0.0,0.8812260536398467,0.8613352898019075,0.8,0.0,0.41531100478468896,0.04465660609793656,0.8584474885844751,0.8735128365685662,1.0,1.0,0.0,1.0,0.0,1.0
27,0.0,0.0,0.9412515964240104,0.19809244314013202,1.0,1.0,0.691866028708134,0.5731444410224824,0.6727549467275495,0.34408265497808393,0.0,1.0,0.30000000000000004,0.0,0.0,0.0
28,0.0,1.0,0.2234993614303959,0.5370506236243582,0.6000000000000001,0.0,0.6258373205741626,0.8247613181398215,0.23439878234398787,0.03130870381966185,0.42857142857142855,0.0,0.6000000000000001,0.0,0.0,0.0
29,0.0,1.0,0.5683269476372924,0.11225238444607488,0.6000000000000001,1.0,0.5655502392344497,0.7767169695103173,0.3013698630136987,0.0723231058234189,0.42857142857142855,0.0,0.1,0.0,0.0,0.0
30,0.0,0.0,0.12771392081736913,0.3308877476155539,0.6000000000000001,1.0,0.6344497607655502,0.8534031413612566,0.1894977168949772,0.08296806512210393,0.42857142857142855,0.0,0.05000000000000002,1.0,0.0,0.0
31,1.0,1.0,0.7943805874840358,0.1870873074101247,0.6000000000000001,1.0,0.5617224880382775,0.7536187249769019,0.040334855403348566,0.0807764558547276,0.42857142857142855,1.0,0.25,0.0,0.0,1.0
32,1.0,1.0,0.12388250319284805,0.2743947175348496,0.6000000000000001,1.0,0.29186602870813394,0.8906683092085003,0.7207001522070017,0.11834690043832184,0.42857142857142855,0.0,0.7000000000000001,0.0,0.0,1.0
